ruta,extension,tamano_kb,lineas
empresa_config.php,.php,0.44,10
factura_pdf.php,.php,1.25,43
ficha_tecnica.php,.php,6.82,41
ficha_tecnica_pdf.php,.php,13.01,266
fix_reabastecimiento_duplicadas.sql,.sql,1.15,39
flujo_admin.php,.php,74.76,1645
funciones_automatizacion.php,.php,6.54,158
funciones_auxiliares.php,.php,1.1,33
funciones_backorder.php,.php,25.08,531
funciones_descuentos_volumen.php,.php,4.48,127
funciones_facturacion.php,.php,40.79,758
funciones_ficha_tecnica.php,.php,12.88,249
funciones_garantias.php,.php,2.93,71
funciones_google_auth.php,.php,15.23,351
funciones_home.php,.php,12.17,158
funciones_logistica.php,.php,6.33,171
funciones_notificaciones.php,.php,0.6,16
funciones_planes.php,.php,2.12,70
funciones_soporte.php,.php,5.13,155
funciones_stock.php,.php,22.07,355
funciones_wishlist.php,.php,12.9,331
garantia.php,.php,6.28,52
generar_etiqueta.php,.php,3.21,16
google_auth.php,.php,1.9,50
hotfix_notificaciones_descuento_wishlist.sql,.sql,0.86,21
hotfix_notificaciones_wishlist_php_final.sql,.sql,1.28,30
hotfix_notificaciones_wishlist_trigger.sql,.sql,5.73,154
imprimir_guia.php,.php,4.48,51
index.php,.php,68.71,857
instalar_phpmailer_si_tengo_composer.bat,.bat,0.59,
instalar_phpmailer_windows.bat,.bat,1.75,
logout.php,.php,0.33,11
mi_cuenta.php,.php,91.72,762
migracion_busqueda_inteligente.sql,.sql,0.78,20
migracion_descuentos_volumen_funcionales.sql,.sql,0.6,15
migracion_devoluciones_decision_cliente.sql,.sql,2.89,75
migracion_devoluciones_estimacion_reemplazo_prime.sql,.sql,0.93,19
migracion_devoluciones_flujo_secuencial_fraude.sql,.sql,1.98,33
migracion_email_outbox_panel.sql,.sql,0.62,15
migracion_empresa_config_admin.sql,.sql,2.96,68
migracion_empresa_simplificada_admin.sql,.sql,2.96,68
migracion_facturacion_garantias_checkout.sql,.sql,11.49,232
migracion_final_correo_facturacion.sql,.sql,15.22,305
migracion_flujo_guiado.sql,.sql,6.12,130
migracion_google_login.sql,.sql,1.24,31
migracion_nota_credito_correo_auto.sql,.sql,1.02,30
migracion_notificaciones_wishlist_mejoradas.sql,.sql,0.44,11
migracion_reemplazo_series_trazabilidad.sql,.sql,1.42,45
